название вакансии,URL,Название компании,Описание
QA Team Lead,https://hh.ru/vacancy/30993489?query=Python,ОАО Дэшборд Системс,"Управление группой тестирования. Анализ требований. Создание тестовой документации. Распределение задач и контроль их исполнения. Взаимодействие с командой разработки. Опыт создания тестовой документации (тест планы, тест кейсы, чек-листы). Желателен опыт автоматизации на Python – Appium, Selenium. Опыт работы с..."
Инженер доступности сервисов/ SRE/ DevOps,https://hh.ru/vacancy/29765407?query=Python, Plazius,"Обеспечение высокой доступности продакшен среды и аптайма работающих там сервисов. Обеспечение масштабирования сервиса на аппаратном уровне и уровне системного ПО. Опыт эксплуатации нагруженных сервисов, работающих 24х7. Опыт программирования (bash, python, go, ruby, powershell или похожие). Опыт использования систем..."
Аналитик (Игры),https://hh.ru/vacancy/29895896?query=Python," Mail.Ru Group, Игры","Разработка и сопровождение систем и процессов анализа данных в студии, которые дают точное представление о том, как наши пользователи взаимодействуют...SQL, понимание построения баз данных, построение сложных запросов. Базовые знания Python или R для анализа данных (numpy/scipy/matplotlib/pandas). "
Продуктовый аналитик,https://hh.ru/vacancy/31018387?query=Python, Zoon.ru,"Оценивать продукты и фичи - как они работают и на что влияют. Проводить А/Б тесты - что стоит доработать, а что...Владение SQL. Знание систем веб-аналитики желательно. Плюсом будет, если вы владеете рhp или python, но это не обязательно."
Помощник аналитика,https://hh.ru/vacancy/31018575?query=Python, ПроКонтекст,"Обучаться в процессе работы. Сбор и обработка статистики. Пост-клик анализ. Проведение A/B тестов. Подготовка аналитических отчетов. Опыт работы с Google Data Studio/Microsoft Power BI. Знание языков JS/Python/PHP хотя бы начального уровня, желание обучаться..."
Инженер-программист DNS / Системный администратор FreeBSD,https://hh.ru/vacancy/30810801?query=Python," MSK-IX, Центр взаимодействия компьютерных сетей","Разработка модулей через API для серверов DNS (BIND, UNBOUND, PowerDNS, NSD). * Разработка модулей через API для PostgreSQL. O для интеграции...+ С/С++/Object С (очень желательно). + Python (желательно). + SQL (желательно). + BASH (желательно). + Perl (желательно). "
Quantitative Researcher/Intern,https://hh.ru/vacancy/30501513?query=Python," Агентство 21 век, КЦ","Работа с большими и сложными наборами данных для построения количественных моделей, которые предсказывают будущие движения цен. Применение современных математических и......студенты последних курсов. Уверенное владение английским языком. Высокий GPA. Навыки программирования на Python (numpy, sklearn, pandas, matplotlib и т. Д.)."
Администратор PostgreSQL,https://hh.ru/vacancy/29126747?query=Python, ФОРС,"Управление инфраструктурой Enterprise уровня (развертывание, настройка, поддержка системного и прикладного ПО) – 24\7. Поддержка доступности инфраструктурных сервисов компании. Навыки написания скриптов автоматизации с использованием : Bash,Python,Perl. Опыт администрирования СУБД Oracle 11/12. Опыт настройки и практического использования..."
Quantitative Researcher,https://hh.ru/vacancy/29958073?query=Python, WorldQuant,"Competitive financial rewards, based on performance and position. Job Responsibilities (including, but not limited to, the following): Building algorithmic, computer...Solid programming skills (C++ and/or Python). Good knowledge of English (both oral and written). Strong work ethic. "
QA-инженер WFM,https://hh.ru/vacancy/31001533?query=Python,ПАО МТС,"Проведение ручного и автоматизированного тестирования. Разработка и поддержание в актуальном состоянии тестовой документации. Анализ, систематизация и составление подробного описания найденных...Базовые знания технологий: SOAP, HTML, Java, XML/XLST, Json. Базовые знания Python. Знание различных инструментов автоматизации тестирования. Опыт работы с..."
Analyst and Reporting Specialist,https://hh.ru/vacancy/31023540?query=Python," adidas, Центральный офис","Analysis and processes modeling for Logistics department$. Logistics Volume plan-fact analysis, recommendations for achieving KPI’s in collaboration with...Experience of automation \ process optimization in the company. Work experience with BI-systems \ SQL DB \ Python \ EXASOL. Upper-Intermediate English."
Разработчик навигационных алгоритмов,https://hh.ru/vacancy/30129960?query=Python, WayRay,"Разработка алгоритмов определения позиции и ориентации автомобиля на основе данных с GNSS, IMU, видеокамеры и информации о движении с бортовой...Опыт программирования на C++ и Python (включая numpy, scipy, pandas, matplotlib). Базовые знания по Computer Science: понимание как устроены основные..."
"Преподаватель компьютерных/IT курсов, программирования, информатики, робототехники",https://hh.ru/vacancy/30137791?query=Python, ЧУ ДО Школа программистов,"Web-дизайн, CMS, PHP, JavaScript. Робототехника и микроконтроллеры. Системное администрирование. Компьютерные сети. Компьютерная графика, видеомонтаж и др. Что Вы будете...Вы обладаете опытом публичных выступлений. Получили или скоро получите техническое или педагогическое высшее образование. И/или направлений IT-технологий: Компьютерное..."
Системный администратор,https://hh.ru/vacancy/30871589?query=Python, СМ-Клиника,"Администрирование серверов на базе ОС Windows и Linux. Сопровождение и развитие распределенной сети на оборудовании Cisco. Администрирование СУБД MS SQL...Опыт настройки систем резервного копирования. Опыт работы с bash, python, powershell, vbs. Глубокие знания серверных ОС Linux, Windows и основных..."
Инженер-верификатор аналоговых блоков,https://hh.ru/vacancy/29685239?query=Python,АО НПЦ «ЭЛВИС»,"Разработка методик контроля характеристик аналоговых устройств и отдельных блоков на различных этапах разработки. Разработка схем тестовой оснастки в схемотехнических САПР. Базовое понимание принципов работы аналоговых схем (ВАХ, АЧХ, Шум, Линейность...). Знание одного из скриптовых языков (Ocean/SKILL или Python). "
DevOps specialist,https://hh.ru/vacancy/30033743?query=Python, Сибур,"Поддержка и развитие в части devops инфраструктуры (hadoop кластер и его компонеты, балансировщики, очереди, сервера приложений). Установка, настройка и администрирование...Знание скриптовых языков (Python, Bash, powershell). Опыт сборки и деплоя приложений, основной стек: Java, Scala, Python. Опыт работы с контейнерами..."
Support Engineer,https://hh.ru/vacancy/30506143?query=Python, АДВ,"Сопровождение: регистрация запросов пользователей, ответы на вопросы, консультации по различным вопросам работы системы, анализ и поиск решения проблем. Опыт написания SQL запросов. Опыт написания инструкций для пользователей. Знание одного из языков программирования (Java, Python, C#). Английский не ниже..."
Антифрод-аналитик,https://hh.ru/vacancy/30999576?query=Python," Mail.Ru Group, Решения для бизнеса","Управление антифрод-системой: создание правил, анализ эффективности их работы, адаптация к новым мошенническим схемам. Анализ большого объема данных пользователях и...Знание основ статистики, алгоритмов, умение программировать (предпочтительно Python). Знание SQL. Аналитические навыки, способность визуализировать данные, находить в них закономерности и..."
